,0
longitud_transportador,0.06700498824503304
log_area,0.06113475594188157
area_pixeles,0.05940779477440084
indice_fuera_x,0.04980708059699729
suma_luminosidad,0.04709124491635379
indice_orientacion,0.04687038341368138
luminosidad_minima,0.044254751748680175
log_indice_x,0.04356093562068028
x_minimo_px,0.042351603834453175
x_maximo_px,0.04184281066981024
espesor_plancha_mm,0.041716084935569296
indice_cuadratura,0.0396829621292558
indice_bordes,0.039006644386082444
sigmoide_area,0.03700823127960066
y_maximo_px,0.034048489075132866
y_minimo_px,0.0335190034570408
log_indice_y,0.03102685381997649
indice_luminosidad,0.030223331090649713
indice_bordes_y,0.029128915536178097
perimetro_x,0.028389384742763073
indice_vacio,0.02646577342290326
indice_bordes_x,0.02645477253821998
perimetro_y,0.02633251701260973
luminosidad_maxima,0.025969303341110264
tipo_acero_A400,0.02292188139936383
tipo_acero_A300,0.02217315089420732
indice_fuera_global,0.0026063511773646306
